1	1000111	21	05.03.05	05.03.05
2	1000222	42	11.03.05	11.03.05
3	1000333	34	18.03.05	18.03.05
4	1000555	23	25.03.05	25.03.05
5	2000222	25	01.04.05	11.04.05
6	2000444	28	08.04.05	08.04.05
7	3000111	41	15.04.05	00.00.00
8	3000333	36	22.04.05	22.04.05
9	3000444	28	29.04.05	29.04.05
10	3000555	19	06.05.05	16.05.05
11	4000222	45	13.05.05	13.05.05
12	4000333	36	20.05.05	20.05.05
13	4000555	28	27.05.05	27.05.05
14	5000222	34	03.06.05	00.00.00
15	5000333	40	10.06.05	19.06.05
16	5000555	31	17.06.05	17.06.05
17	6000111	39	24.06.05	24.06.05
18	6000222	28	01.07.05	01.07.05
19	6000333	32	08.07.05	08.07.05
20	1000111	42	15.07.05	23.07.05
21	1000222	19	22.07.05	22.07.05
22	1000333	24	29.07.05	00.00.00
23	1000555	35	05.08.05	05.08.05
24	2000222	15	12.08.05	12.08.05
25	2000444	21	19.08.05	19.08.05
26	3000111	14	26.08.05	26.08.05
27	3000333	19	02.09.05	12.09.05
28	3000444	17	09.09.05	09.09.05
29	3000555	21	16.09.05	16.09.05
30	4000222	23	23.09.05	23.09.05
31	4000333	25	30.09.05	30.09.05
32	4000555	23	07.10.05	07.10.05
33	5000222	26	14.10.05	14.10.05
